=== Loading wragge/hansard-xml speeches ===
  Found 13247 XML files
  Loaded 424976 existing dedup keys
  [3051/13247] 109500 inserted, 2295 deduped
  [3072/13247] 110000 inserted, 2295 deduped
  [3084/13247] 110500 inserted, 2295 deduped
  [3102/13247] 111000 inserted, 2295 deduped
  [3114/13247] 111500 inserted, 2295 deduped
  [3141/13247] 112000 inserted, 2295 deduped
  [3153/13247] 112500 inserted, 2295 deduped
  [3165/13247] 113000 inserted, 2295 deduped
  [3175/13247] 113500 inserted, 2295 deduped
  [3195/13247] 114000 inserted, 2295 deduped
  [3207/13247] 114500 inserted, 2295 deduped
  [3226/13247] 115000 inserted, 2295 deduped
  [3241/13247] 115500 inserted, 2295 deduped
  [3254/13247] 116000 inserted, 2295 deduped
  [3272/13247] 116500 inserted, 2295 deduped
  [3287/13247] 117000 inserted, 2295 deduped
  [3299/13247] 117500 inserted, 2295 deduped
  [3312/13247] 118000 inserted, 2295 deduped
  [3322/13247] 118500 inserted, 2295 deduped
  [3342/13247] 119000 inserted, 2295 deduped
  [3361/13247] 119500 inserted, 2295 deduped
  [3385/13247] 120000 inserted, 2295 deduped
  [3404/13247] 120500 inserted, 2295 deduped
  [3429/13247] 121000 inserted, 2295 deduped
  [3448/13247] 121500 inserted, 2295 deduped
  [3462/13247] 122000 inserted, 2295 deduped
  [3489/13247] 122500 inserted, 2295 deduped
  [3503/13247] 123000 inserted, 2295 deduped
  [3528/13247] 123500 inserted, 2295 deduped
  [3548/13247] 124000 inserted, 2295 deduped
  [3565/13247] 124500 inserted, 2295 deduped
  [3578/13247] 125000 inserted, 2295 deduped
  [3596/13247] 125500 inserted, 2295 deduped
  [3613/13247] 126000 inserted, 2295 deduped
  [3619/13247] 126500 inserted, 2295 deduped
  [3637/13247] 127000 inserted, 2295 deduped
  [3655/13247] 127500 inserted, 2295 deduped
  [3668/13247] 128000 inserted, 2295 deduped
  [3684/13247] 128500 inserted, 2295 deduped
  [3698/13247] 129000 inserted, 2295 deduped
  [3716/13247] 129500 inserted, 2295 deduped
  [3734/13247] 130000 inserted, 2295 deduped
  [3749/13247] 130500 inserted, 2296 deduped
  [3764/13247] 131000 inserted, 2296 deduped
  [3785/13247] 131500 inserted, 2296 deduped
  [3802/13247] 132000 inserted, 2296 deduped
  [3814/13247] 132500 inserted, 2296 deduped
  [3832/13247] 133000 inserted, 2296 deduped
  [3846/13247] 133500 inserted, 2296 deduped
  [3863/13247] 134000 inserted, 2296 deduped
  [3877/13247] 134500 inserted, 2296 deduped
  [3889/13247] 135000 inserted, 2296 deduped
  [3908/13247] 135500 inserted, 2297 deduped
  [3925/13247] 136000 inserted, 2297 deduped
  [3941/13247] 136500 inserted, 2299 deduped
  [3955/13247] 137000 inserted, 2299 deduped
  [3970/13247] 137500 inserted, 2299 deduped
  [3989/13247] 138000 inserted, 2299 deduped
  [4000/13247] 138365 inserted, 2299 deduped
  [4005/13247] 138500 inserted, 2299 deduped
  [4017/13247] 139000 inserted, 2299 deduped
  [4033/13247] 139500 inserted, 2299 deduped
  [4047/13247] 140000 inserted, 2299 deduped
  [4062/13247] 140500 inserted, 2300 deduped
  [4078/13247] 141000 inserted, 2300 deduped
  [4091/13247] 141500 inserted, 2300 deduped
  [4104/13247] 142000 inserted, 2300 deduped
  [4119/13247] 142500 inserted, 2300 deduped
  [4132/13247] 143000 inserted, 2300 deduped
  [4150/13247] 143500 inserted, 2300 deduped
  [4163/13247] 144000 inserted, 2300 deduped
  [4171/13247] 144500 inserted, 2300 deduped
  [4189/13247] 145000 inserted, 2300 deduped
  [4202/13247] 145500 inserted, 2300 deduped
  [4216/13247] 146000 inserted, 2300 deduped
  [4230/13247] 146500 inserted, 2300 deduped
  [4242/13247] 147000 inserted, 2301 deduped
  [4256/13247] 147500 inserted, 2301 deduped
  [4268/13247] 148000 inserted, 2301 deduped
  [4285/13247] 148500 inserted, 2301 deduped
  [4296/13247] 149000 inserted, 2301 deduped
  [4310/13247] 149500 inserted, 2301 deduped
  [4325/13247] 150000 inserted, 2301 deduped
  [4344/13247] 150500 inserted, 2301 deduped
  [4356/13247] 151000 inserted, 2303 deduped
  [4367/13247] 151500 inserted, 2303 deduped
  [4384/13247] 152000 inserted, 2303 deduped
  [4399/13247] 152500 inserted, 2303 deduped
  [4415/13247] 153000 inserted, 2303 deduped
  [4431/13247] 153500 inserted, 2303 deduped
  [4445/13247] 154000 inserted, 2303 deduped
  [4459/13247] 154500 inserted, 2303 deduped
  [4465/13247] 155000 inserted, 2303 deduped
  [4478/13247] 155500 inserted, 2303 deduped
  [4493/13247] 156000 inserted, 2303 deduped
  [4509/13247] 156500 inserted, 2303 deduped
  [4523/13247] 157000 inserted, 2303 deduped
  [4538/13247] 157500 inserted, 2303 deduped
  [4554/13247] 158000 inserted, 2303 deduped
  [4561/13247] 158500 inserted, 2304 deduped
